name,album,popularity,artist,release_date,length,album_art,album_type,duration_ms,explicit,preview_url,track_no,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,Song URL,Own_Song?,Length_s,Right_Field_1,id,small_album_art,Right_ActualURL,Artist_Name,Collaborator
Renovation,Renovation,0,Rayce,8/17/2016,228075,https://i.scdn.co/image/c4b76f3b9e9d2b9cc6b6d1fcd10961e34dc1aaba,single,228075,FALSE,https://p.scdn.co/mp3-preview/2ac6d85383a90ec6cda90de09c0950d657f79def?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.71,0.263,0.893,0,0.237,-5.323,0.0846,128.063,4,0.886,https://open.spotify.com/track/1Esay0jzGbL5TjsVE69O6e,No,228.075,40,7M5WwpKhiaf2mxFdCvkgy9,https://i.scdn.co/image/928fb6d01d55483a5e7f82f3c0d78503423a8e4d,https://open.spotify.com/album/7M5WwpKhiaf2mxFdCvkgy9,Olamide,Rayce
Revolution - Original Mix,Revolution,0,Massimo Di Casal,5/26/2014,211091,https://i.scdn.co/image/f7743ea1c245c9e7054d62816f883f451f6216b7,single,211091,FALSE,https://p.scdn.co/mp3-preview/ffcf30aada2ad9ebbc4a01a4bde557fa7c9d2c4b?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.495,0.000282,0.537,0.573,0.0982,-11.615,0.0398,128.045,4,0.0494,https://open.spotify.com/track/4PhRfNDo1Ur4LhdXjLfTVj,No,211.091,44,1VJqAfPb8cEh6e3mntY9jB,https://i.scdn.co/image/054d49a5cd2d0603be76b7605220a1510c453863,https://open.spotify.com/album/1VJqAfPb8cEh6e3mntY9jB,Olamide,Massimo Di Casal
Coded,Rheymo Fit Bust,0,Rheymophoebus,8/26/2017,245916,https://i.scdn.co/image/6caa4a0780ecf64dd298c1254b0ec472e291996c,album,245916,FALSE,https://p.scdn.co/mp3-preview/34097f8b6f9476e8490b68e5af7a7469f0ae9b55?cid=b50ee957f7824fa5806358e8fe3a1598,8,0.695,0.0868,0.951,0,0.571,-3.947,0.163,125.003,4,0.452,https://open.spotify.com/track/6iIoGplFmVNcQGW3yPiIr7,No,245.916,39,5KfmTJ8UU5bJgsthJ1mXMj,https://i.scdn.co/image/bb4d0f2e41cb578f1674171154c64a3a39bb104b,https://open.spotify.com/album/5KfmTJ8UU5bJgsthJ1mXMj,Olamide,Rheymophoebus
Ringi Ringi,Ringi Ringi,13,Akuchi,5/26/2017,214057,https://i.scdn.co/image/d9190c2517086de929f9f37cd2a715133e5b3041,single,214057,FALSE,https://p.scdn.co/mp3-preview/554b1777352a929dba213f2a8f8b9b57025610e3?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.809,0.132,0.511,0.000318,0.0766,-8.293,0.25,98.873,4,0.389,https://open.spotify.com/track/5UY3FKNChpnAaOjE6FT3tr,No,214.057,47,6DCrkRpqSaClItzJ2povLa,https://i.scdn.co/image/a5ee943df6fce6d7ed29366e3d1dcc3d43fb1abe,https://open.spotify.com/album/6DCrkRpqSaClItzJ2povLa,Olamide,Akuchi
Road 2 Russia (Dem Go Hear Am),Road 2 Russia (Dem Go Hear Am),23,Olamide,6/9/2018,174001,https://i.scdn.co/image/f9a5398627906a495b4faadcdf75c6ff61719b4a,single,174001,FALSE,https://p.scdn.co/mp3-preview/4147c01e6118da79c746cbfeb80674803573446c?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.6,0.0371,0.88,0.000421,0.134,-3.166,0.106,119.485,3,0.904,https://open.spotify.com/track/4MAYwZbIKUHPQCdEIP2MVy,Yes,174.001,30,6Hum8FHnFMPef0cq4ecPrN,https://i.scdn.co/image/416391609c450731e8cea01b582118aed0449527,https://open.spotify.com/album/6Hum8FHnFMPef0cq4ecPrN,Olamide,None
Science Student,Science Student,45,Olamide,1/11/2018,203363,https://i.scdn.co/image/a51b6800eb8bccc9f2eab39e64e0997ac493c90b,single,203363,TRUE,https://p.scdn.co/mp3-preview/e641f2d31b4d068cfd522343ecd37ff417145e38?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.789,0.562,0.864,0,0.0759,-2.848,0.344,124.166,4,0.814,https://open.spotify.com/track/3nlHlYHEvLxkwCiiqbjCKI,Yes,203.363,40,79XGlgrg9qYDI4Rm7O3Hn8,https://i.scdn.co/image/180776fcbe58f91bc2f6259461010546c59cb4a4,https://open.spotify.com/album/79XGlgrg9qYDI4Rm7O3Hn8,Olamide,None
Sebee (Remix),Sebee (Remix),6,Sossi,7/30/2015,210468,https://i.scdn.co/image/62f808335f1a6f07ed14adecfea5e230a75fb01c,single,210468,FALSE,https://p.scdn.co/mp3-preview/97a9a02cafa6ddbe6ef1602542cc4f268dad2aba?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.739,0.0209,0.93,3.35E-06,0.29,-1.558,0.0941,127.013,4,0.603,https://open.spotify.com/track/1eFcgFWq6jwPgUvD7ZN8iI,No,210.468,34,7wbb0ES0n1omV9JnEuvh5M,https://i.scdn.co/image/05f3964a9fab1ac326c8399e5ccb5195470ec1c6,https://open.spotify.com/album/7wbb0ES0n1omV9JnEuvh5M,Olamide,Sossi
See Mary See Jesus,See Mary See Jesus,30,DJ Kaywise,4/26/2018,220395,https://i.scdn.co/image/37224e4b52987061a77308865445ff4586224fb2,single,220395,TRUE,https://p.scdn.co/mp3-preview/bd6ca432af15b06f55f6cbfcaab554db5af2ea95?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.795,0.165,0.919,0,0.497,-3.787,0.35,125.018,4,0.65,https://open.spotify.com/track/1MJh3KhCWUlZLW3XXoyR3Q,No,220.395,32,38XfKwibHXajuMCYd219Yk,https://i.scdn.co/image/24f452751a666319d7c1232330215efae9794c87,https://open.spotify.com/album/38XfKwibHXajuMCYd219Yk,Olamide,DJ Kaywise
Sere Ghetto,Sere Ghetto,10,Olamide,8/21/2016,245581,https://i.scdn.co/image/5d324429b4b3aa8abb45107d9ee6ac6c5fa0c258,single,245581,FALSE,https://p.scdn.co/mp3-preview/637bd72d9e91ff30ff61b998a2e329f7193b708a?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.781,0.536,0.92,0,0.154,-1.171,0.232,128.996,4,0.673,https://open.spotify.com/track/5HGgEt4AyCTb7HXajKssMC,Yes,245.581,26,0kre44cg81wZzUkJGaduHo,https://i.scdn.co/image/b4f0fce8d50cc39c9af54fbe9ddb5322bf8528b8,https://open.spotify.com/album/0kre44cg81wZzUkJGaduHo,Olamide,None
Sheevita Juice,Sheevita Juice,33,Olamide,2/13/2018,220551,https://i.scdn.co/image/fd474bd17ed32e215d852f92b62b515ecca3fbd3,single,220551,TRUE,https://p.scdn.co/mp3-preview/83d91476a25552ace2c071e338704a18eeb79fdf?cid=b50ee957f7824fa5806358e8fe3a1598,1,0.935,0.0204,0.51,0.00215,0.1,-8.787,0.339,122.962,4,0.615,https://open.spotify.com/track/3gejeEUwghbERenXwoTGta,Yes,220.551,38,2ndxl7MJfa4qTRhWbYqRlp,https://i.scdn.co/image/075a85004e22c208fcafe44bdf2102e0f95d5568,https://open.spotify.com/album/2ndxl7MJfa4qTRhWbYqRlp,Olamide,None
